# time                          signal
1.749538000000000011e+03  1.339000000000000057e+02
1.749623000000000047e+03  1.361923076923076792e+02
1.749707000000000107e+03  1.396076923076923038e+02
1.749789999999999964e+03  1.419538461538461718e+02
1.749874000000000024e+03  1.463538461538461775e+02
1.749958000000000084e+03  1.482769230769230830e+02
1.750041999999999916e+03  1.485153846153846189e+02
1.750123000000000047e+03  1.495692307692307850e+02
1.750203999999999951e+03  1.527615384615384642e+02
1.750288000000000011e+03  1.514538461538461434e+02
1.750371000000000095e+03  1.498923076923076962e+02
1.750454999999999927e+03  1.392307692307692264e+02
1.750538000000000011e+03  1.372846153846153925e+02
1.750623000000000047e+03  1.334615384615384528e+02
1.750707000000000107e+03  1.295384615384615472e+02
1.750789999999999964e+03  1.253307692307692491e+02
1.750874000000000024e+03  1.217923076923077019e+02
1.750958000000000084e+03  1.167538461538461547e+02
1.751041999999999916e+03  1.124307692307692434e+02
1.751123000000000047e+03  1.091538461538461604e+02
1.751203999999999951e+03  9.896153846153846700e+01
1.751288000000000011e+03  9.024615384615384528e+01
1.751371000000000095e+03  8.547692307692308589e+01
1.751454999999999927e+03  8.300000000000000000e+01
1.751538000000000011e+03  7.781538461538460183e+01
1.751623000000000047e+03  7.524615384615383107e+01
1.751707000000000107e+03  7.876923076923074518e+01
1.751789999999999964e+03  8.056153846153844711e+01
1.751874000000000024e+03  8.098461538461536691e+01
1.751958000000000084e+03  7.827692307692306883e+01
1.752041999999999916e+03  8.183076923076922071e+01
1.752124000000000024e+03  7.708461538461537543e+01
1.752205999999999904e+03  7.289230769230768203e+01
1.752289999999999964e+03  7.585384615384616325e+01
1.752373000000000047e+03  7.770000000000001705e+01
1.752455999999999904e+03  7.917692307692308873e+01
1.752539999999999964e+03  7.917692307692308873e+01
1.752624000000000024e+03  7.879230769230768772e+01
1.752708000000000084e+03  7.824615384615384528e+01
1.752790999999999940e+03  7.401538461538460467e+01
1.752874000000000024e+03  7.103076923076922355e+01
1.752958000000000084e+03  6.743846153846152447e+01
1.753041999999999916e+03  6.518461538461538396e+01
1.753123000000000047e+03  6.013076923076922498e+01
1.753203999999999951e+03  5.996923076923077645e+01
1.753288000000000011e+03  5.970000000000000995e+01
